name,address,pho,dhb,enrolled,accepting_patients,sa3_name,region,nz_dep,sa3_pop,sa3_maori_pct,sa3_pasifika_pct,nearest_ed,nearest_ed_km,nearest_afterhours,nearest_afterhours_km
"Stortford Accident and Medical","104 Stortford Street, Saint Leonards, Hastings 4120","Health Hawkes Bay","Hawkes Bay District Health Board",2049,true,"St Leonards","Hawke's Bay Region",8,2610,28.7,8.3,"Hawkes Bay DHB - ED",0.6,"Hastings Health Centre",1.3
"Kelburn GPs","42 Upland Road, Kelburn, Wellington 6012","Tū Ora Compass Health","Capital and Coast District Health Board",2027,true,"Kelburn","Wellington Region",4.6,4290,8.3,2.8,"Wellington Hospital - Emergency Department",2.6,"Wellington Accident & Urgent Medical Centre",2
"Shakespeare Road Medical Centre","24 Shakespeare Road, Bluff Hill, Napier 4110","Hauraki PHO","Hawkes Bay District Health Board",6358,true,"Bluff Hill","Hawke's Bay Region",2,2631,12.1,1.7,"Hawkes Bay DHB - ED",17.3,"City Medical Urgent Care Napier",0.9
"Tukituki Medical","1 Cook Street, Waipukurau 4200","Health Hawkes Bay","Hawkes Bay District Health Board",7620,true,"Central Hawke's Bay District East","Hawke's Bay Region",5.4,9573,26.3,2.7,"Hawkes Bay DHB - ED",47.2,"Hastings Health Centre",47
"Wadestown Medical Practice","104A Wadestown Road, Wadestown, Wellington 6012","Tū Ora Compass Health","Capital and Coast District Health Board",4000,true,"Wadestown","Wellington Region",1,3696,7.4,1.4,"Wellington Hospital - Emergency Department",5.2,"Karori Medical Centre",4
"Te Mata Peak Practice","33 Napier Road, Havelock North 4130","Health Hawkes Bay","Hawkes Bay District Health Board",10600,true,"Havelock North East","Hawke's Bay Region",2.1,7599,7.5,0.9,"Hawkes Bay DHB - ED",6.3,"Hastings Health Centre",4.5
"City Medical Centre Gisborne","134 Derby Street, Gisborne 4010","Pinnacle Midlands Health Network","Tairawhiti District Health Board",6579,true,"Gisborne Centre","Gisborne Region",9.1,2940,54.4,6.8,"Tairawhiti DHB - ED",3.3,"Whakatāne Hospital ED - GP Clinic",119.9
"Eltham Health Centre","132 High Street, Eltham 4322","Pinnacle Midlands Health Network","Taranaki District Health Board",2150,true,"South Taranaki District North","Taranaki Region",8.3,4281,23.2,2.3,"Hawera Hospital Emergency Department",17.7,"MediCross Urgent Care & GP Clinic",46
"Mahoe Med","4/670 Cambridge Road, Te Awamutu 3800","Pinnacle Midlands Health Network","Waikato District Health Board",14300,true,"Te Awamutu South","Waikato Region",6.2,8535,24.5,2.9,"Waikato Hospital Emergency Department",23.2,"Mahoe Med",0.2
"Victoria Clinic (M)","173 Anglesea Street, Hamilton Central, Hamilton 3204","Pinnacle Midlands Health Network","Waikato District Health Board",6699,true,"Hamilton Centre","Waikato Region",8.1,2628,21.9,4.5,"Waikato Hospital Emergency Department",1.5,"Victoria Clinic - GP and Urgent Care",0
"Ohope Beach Medical Centre","262 Pohutukawa Avenue, Ohope 3121","Eastern Bay Primary Health Alliance","Bay of Plenty District Health Board",2270,true,"Ōhope","Bay of Plenty Region",5,4545,33.9,2.4,"Whakatane Hospital - Emergency Department",7.1,"Whakatāne Hospital ED - GP Clinic",7.1
"Glenview Medical Centre","1 Urlich Avenue, Melville, Hamilton 3206","Pinnacle Midlands Health Network","Waikato District Health Board",11186,true,"Melville","Waikato Region",8.4,5652,31.1,8.6,"Waikato Hospital Emergency Department",1.3,"Anglesea Accident & Medical",2.8
"Devon Medical Centre","283 Devon Street West, New Plymouth 4310","Pinnacle Midlands Health Network","Taranaki District Health Board",10450,true,"New Plymouth Centre","Taranaki Region",6.7,3507,16.9,1.8,"Taranaki DHB - Emergency Department",1.3,"MediCross Urgent Care & GP Clinic",0.8
"Stratford Health Centre","8 Romeo Street, Stratford 4332","Pinnacle Midlands Health Network","Taranaki District Health Board",19000,true,"Stratford","Taranaki Region",7.3,6330,17.5,2.2,"Hawera Hospital Emergency Department",26.8,"MediCross Urgent Care & GP Clinic",37.3
"Katikati Medical Centre","4 Clive Road, Katikati 3129","Western Bay of Plenty","Bay of Plenty District Health Board",9700,true,"Katikati","Bay of Plenty Region",5.7,10449,14.1,4.2,"Tauranga Hospital Emergency Department",26.1,"Fifth Avenue Family Practice",25.9
"Cambridge Family Health Centre","1913 Cambridge Road, Cambridge 3434","Pinnacle Midlands Health Network","Waikato District Health Board",9600,true,"Cambridge West","Waikato Region",3,3204,8.9,1.7,"Waikato Hospital Emergency Department",17.9,"Mahoe Med",16.5
"Leamington Medical Centre","127 Shakespeare Street, Leamington, Cambridge 3432","National Hauora Coalition","Waikato District Health Board",6838,true,"Leamington","Waikato Region",3.6,9582,13.2,2.2,"Waikato Hospital Emergency Department",20.4,"Mahoe Med",16.4
"Little London Medical Clinic","6 Little London Lane, Hamilton Central, Hamilton 3204","Pinnacle Midlands Health Network","Waikato District Health Board",3200,true,"Hamilton Centre","Waikato Region",8.1,2628,21.9,4.5,"Waikato Hospital Emergency Department",2.6,"Redicare Medical Centre",0.6
"Flagstaff Medical Centre","2 Endeavour Avenue, Flagstaff, Hamilton 3210","Pinnacle Midlands Health Network","Waikato District Health Board",5250,true,"Flagstaff","Waikato Region",1.9,12777,11.0,2.3,"Waikato Hospital Emergency Department",7.7,"Tui Medical - Rototuna Urgent Care",2
"Ruatahi Medical Centre","1271 Hinemoa Street, Rotorua 3010","Rotorua Area Primary Health Services","Lakes District Health Board",4684,true,"Rotorua Centre","Bay of Plenty Region",10,1593,59.1,7.5,"Rotorua Hospital ED",0.5,"Lakes Primecare - Accident and Urgent Medical Care Centre",0.4
"Strandon Health","13/17 Nobs Line, Strandon, New Plymouth 4312","Pinnacle Midlands Health Network","Taranaki District Health Board",2918,true,"Strandon","Taranaki Region",4,2592,14.4,1.4,"Taranaki DHB - Emergency Department",4,"MediCross Urgent Care & GP Clinic",2.2
"Tara Road Medical Centre","1F Tara Road, RD 7, Te Puke 3187","Western Bay of Plenty","Bay of Plenty District Health Board",5200,true,"Papamoa Beach","Bay of Plenty Region",4.2,34524,18.1,3.5,"Tauranga Hospital Emergency Department",13.8,"Poutiri Wellness Centre",8
"Three Rivers Medical Centre","75 Customhouse Street, Gisborne 4010","Pinnacle Midlands Health Network","Tairawhiti District Health Board",20450,true,"Gisborne Centre","Gisborne Region",9.1,2940,54.4,6.8,"Tairawhiti DHB - ED",4,"Whakatāne Hospital ED - GP Clinic",120.5
"Tui Medical - Rototuna Medical Care","Rototuna Shopping Centre, 4/44 Horsham Downs Road, Rototuna North, Hamilton 3210","Hauraki PHO","Waikato District Health Board",60000,true,"Huntington","Waikato Region",2.7,8832,12.3,2.9,"Waikato Hospital Emergency Department",8.4,"Tui Medical - Rototuna Urgent Care",0.1
"Doctors @ 42","42 Main Street, Huntly 3700","National Hauora Coalition","Waikato District Health Board",4264,true,"Huntly","Waikato Region",9.1,10509,48.4,10.1,"Waikato Hospital Emergency Department",29.7,"Tuuhono Hauora",0.8
"Ngaruawahia Medical Centre","11 Galileo Street, Ngaruawahia 3720","National Hauora Coalition","Waikato District Health Board",6207,true,"Ngāruawāhia-Horotiu","Waikato Region",8.1,8667,52.8,6.3,"Waikato Hospital Emergency Department",19.1,"Tuuhono Hauora",11.8
